Fecha,AAPL,ADBE,AMZN,META,MSFT,NFLX,NVDA,TSLA
5/31/2023,176.5527802,417.7900085,120.5800018,264.4394226,326.4288025,395.230011,378.218689,203.9299927
6/1/2023,179.3816071,426.75,122.7699966,272.3210449,330.59375,403.1300049,397.5725098,207.5200043
6/2/2023,180.2382202,436.3699951,124.25,272.3210449,333.3968811,400.4700012,393.1439209,213.9700012
6/5/2023,178.8736267,434.1799927,125.3000031,271.102356,333.9337158,403.5400085,391.5844116,217.6100006
6/6/2023,178.5050812,432.8900146,126.6100006,270.8326416,331.6871948,399.2900085,386.4160767,221.3099976
6/7/2023,177.1205444,418.3200073,121.2300034,263.3206177,321.4487,399.769989,374.6686096,224.5700073
6/8/2023,179.8597412,439.0299988,124.25,264.2995605,323.3175049,409.3699951,385.0163879,234.8600006
6/9/2023,180.2481842,454,123.4300003,264.6691895,324.8383484,420.019989,387.6158142,244.3999939
6/12/2023,183.0670624,474.6300049,126.5699997,270.7626953,329.868103,423.9700012,394.7342529,249.8300018
6/13/2023,182.5889435,478.9899902,126.6600037,271.0324402,332.2935486,435.730011,410.1309204,258.7099915
6/14/2023,183.2264252,479.5299988,126.4199982,273.0602722,335.3253479,440.8599854,429.8766174,256.7900085
6/15/2023,185.2783356,490.9100037,127.1100006,281.5312805,346.0210876,445.269989,426.4373474,255.8999939
6/16/2023,184.192627,495.1799927,125.4899979,280.702179,340.2855225,431.9599915,426.827301,260.5400085
6/20/2023,184.2822571,485.8599854,125.7799988,284.0286255,336.0310974,434.7000122,437.9848633,274.4500122
6/21/2023,183.2364044,477.480011,124.8300018,281.3415222,331.5679016,424.4500122,430.3565063,259.4599915
6/22/2023,186.2644348,477.5799866,130.1499939,284.578064,337.6811523,422.480011,430.1565857,264.6099854
6/23/2023,185.9456787,484.7200012,129.3300018,288.4239807,333.019165,424.019989,421.9983215,256.6000061
6/26/2023,184.5412445,479.5100098,127.3300018,278.1748657,326.6375427,415.9400024,406.23172,241.0500031
6/27/2023,187.3202667,489.269989,129.1799927,286.7457581,332.5718689,417.0799866,418.6690674,250.2100067
6/28/2023,188.5055847,482.4299927,129.0399933,284.9876404,333.8442383,429.8399963,411.0806885,256.2399902
6/29/2023,188.8442535,483.769989,127.9000015,281.2315979,333.0489807,428.2399902,408.1313477,257.5
6/30/2023,193.207016,488.9899902,130.3600006,286.6758423,338.5062256,440.4899902,422.9281006,261.769989
7/3/2023,191.7029572,485.2099915,130.2200012,285.7168274,335.9714355,441.4400024,424.0378723,279.8200073
7/5/2023,190.5774078,487.2600098,130.3800049,294.0579834,336.1304932,445.8999939,423.078125,282.480011
7/6/2023,191.0555115,481.2900085,128.3600006,291.6805115,339.2318726,438.8399963,420.9385681,276.5400085
7/7/2023,189.9299316,485.269989,129.7799988,290.2220764,335.2060547,438.1000061,424.9377136,274.4299927
7/10/2023,187.8680878,496.3500061,127.1299973,293.7882996,329.8482056,441.7099915,421.7084045,269.6099854
7/11/2023,187.3401947,504.7399902,128.7799988,297.9738464,330.484436,440.2099915,423.9578857,269.7900085
7/12/2023,189.0235443,507.3599854,130.8000031,309.0121155,335.1861877,444.0499878,438.9246216,271.9899902
7/13/2023,189.7904968,517.2800293,134.3000031,313.0778198,340.6135864,450.3800049,459.670105,277.8999939
7/14/2023,189.9399414,514.8300171,134.6799927,308.5426331,343.1781311,441.9100037,454.5912476,281.3800049
7/17/2023,193.226944,522,133.5599976,310.2907715,343.6652222,450.0499878,464.5090942,290.3800049
7/18/2023,192.9679565,532.2299805,132.8300018,311.7192383,357.3430481,474.7999878,474.836853,293.3399963
7/19/2023,194.3325653,527.1699829,135.3600006,315.6750793,352.9593506,477.5899963,470.6677246,291.2600098
7/20/2023,192.3703308,516.8800049,129.9600067,302.1993408,344.7984314,437.4200134,455.1011353,262.8999939
7/21/2023,191.1849976,520.2299805,130,293.9481201,341.7169189,427.5,442.9937744,260.019989
7/24/2023,191.9918213,523.8599854,128.8000031,291.3009033,343.0489197,428.3699951,446.0231018,269.0599976
7/25/2023,192.8583984,525.3400269,129.1300049,294.1578979,348.8838806,427.7000122,456.6907959,265.2799988
7/26/2023,193.7349243,514.5499878,128.1499939,298.2535706,335.7527466,422.6700134,454.4212646,264.3500061
7/27/2023,192.4599609,513.9699707,128.25,311.3796082,328.7448425,413.1700134,458.9003296,255.7100067
7/28/2023,195.0597076,528.8699951,132.2100067,325.1350403,336.3491821,425.7799988,467.3984375,266.4400024
7/31/2023,195.6772614,546.1699829,133.6799927,318.2623291,333.9138184,438.9700012,467.1885376,267.4299927
8/1/2023,194.8405609,549.0999756,131.6900024,322.3679504,334.3312988,438.6199951,464.9689941,261.0700073
8/2/2023,191.8224945,530.2999878,128.2100067,313.9768677,325.5440979,429.7000122,442.5938721,254.1100006
8/3/2023,190.4180298,523.7600098,128.9100037,312.8580627,324.709137,431,445.0533447,259.3200073
8/4/2023,181.2741394,526.8800049,139.5700073,310.4006653,325.8224182,431.6000061,446.7029419,253.8600006
8/7/2023,178.1465149,529.7299805,142.2200012,316.2244873,328.1385193,440.7600098,454.0713806,251.4499969
8/8/2023,179.0927582,520.5999756,139.9400024,312.3086548,324.1027527,438.2999878,446.5430298,249.6999969
8/9/2023,177.4891052,513.7800293,137.8500061,304.8865051,320.305603,428.8999939,425.4476013,242.1900024
8/10/2023,177.2699432,515.8300171,138.5599976,305.4159546,321.0014038,429.980011,423.7879639,245.3399963
8/11/2023,177.3297882,508.4500122,138.4100037,301.3203125,319.092865,421.6600037,408.4612427,242.6499939
