Fecha,NDX
12/31/2018,6329.970215
1/2/2019,6360.870117
1/3/2019,6147.129883
1/4/2019,6422.669922
1/7/2019,6488.25
1/8/2019,6551.850098
1/9/2019,6600.689941
1/10/2019,6620.939941
1/11/2019,6601.399902
1/14/2019,6541.040039
1/15/2019,6669.640137
1/16/2019,6668.560059
1/17/2019,6718.450195
1/18/2019,6784.609863
1/22/2019,6646.810059
1/23/2019,6658.759766
1/24/2019,6702.549805
1/25/2019,6787.370117
1/28/2019,6697.089844
1/29/2019,6632.790039
1/30/2019,6807.910156
1/31/2019,6906.839844
2/1/2019,6875.52002
2/4/2019,6959.959961
2/5/2019,7023.52002
2/6/2019,6997.620117
2/7/2019,6904.97998
2/8/2019,6913.129883
2/11/2019,6909.180176
2/12/2019,7014.669922
2/13/2019,7015.879883
2/14/2019,7022.419922
2/15/2019,7055.180176
2/19/2019,7066.609863
2/20/2019,7062.339844
2/21/2019,7035.160156
2/22/2019,7090.629883
2/25/2019,7115.430176
2/26/2019,7123.220215
2/27/2019,7117
2/28/2019,7097.529785
3/1/2019,7151.569824
3/4/2019,7150.830078
3/5/2019,7156.790039
3/6/2019,7112.470215
3/7/2019,7026.879883
3/8/2019,7015.689941
3/11/2019,7164.02002
3/12/2019,7201.279785
3/13/2019,7256.97998
3/14/2019,7243.009766
3/15/2019,7306.990234
3/18/2019,7326.279785
3/19/2019,7349.279785
3/20/2019,7380.75
3/21/2019,7493.27002
3/22/2019,7326.060059
3/25/2019,7316.959961
3/26/2019,7351.149902
3/27/2019,7308.189941
3/28/2019,7320.470215
3/29/2019,7378.77002
4/1/2019,7478.419922
4/2/2019,7499.640137
4/3/2019,7544.970215
4/4/2019,7540.569824
4/5/2019,7578.839844
4/8/2019,7599.740234
4/9/2019,7568.490234
4/10/2019,7611.490234
4/11/2019,7594.890137
4/12/2019,7628.149902
4/15/2019,7629.120117
4/16/2019,7654.72998
4/17/2019,7680.720215
4/18/2019,7689.720215
4/22/2019,7713.490234
4/23/2019,7810.709961
4/24/2019,7784.410156
4/25/2019,7816.919922
4/26/2019,7826.680176
4/29/2019,7839.040039
4/30/2019,7781.459961
5/1/2019,7751.850098
5/2/2019,7724.060059
5/3/2019,7845.72998
5/6/2019,7794.089844
5/7/2019,7640.149902
5/8/2019,7617.549805
5/9/2019,7582.75
5/10/2019,7586.529785
5/13/2019,7324.129883
5/14/2019,7401.879883
5/15/2019,7503.25
5/16/2019,7580.140137
5/17/2019,7503.680176
5/20/2019,7376.700195
5/21/2019,7451.02002
5/22/2019,7420.660156
5/23/2019,7307.930176
5/24/2019,7300.959961
5/28/2019,7278.379883
5/29/2019,7216.859863
5/30/2019,7245.399902
5/31/2019,7127.959961
6/3/2019,6978.02002
6/4/2019,7166.75
6/5/2019,7220.899902
6/6/2019,7275.930176
6/7/2019,7417.290039
6/10/2019,7501.930176
6/11/2019,7513.850098
6/12/2019,7472.290039
6/13/2019,7510.680176
6/14/2019,7479.109863
6/17/2019,7526.52002
6/18/2019,7635.399902
6/19/2019,7667.740234
6/20/2019,7738.049805
6/21/2019,7728.779785
6/24/2019,7723.02002
6/25/2019,7591.540039
